Food Item (खाद्य पदार्थ),"Cereals,Pulses,Lentils & Legumes",Calories (per 100g),Protein (g),Carbs(g),Fats(g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects),,,,,,
Cooked Brown Chana (पका भूरा चना),"Cereals,Pulses,Lentils & Legumes",165,9,27,2.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Popular in Indian diets.,,,,,,
Dry Lentil Flour (मसूर आटा),"Cereals,Pulses,Lentils & Legumes",355,27,59,1.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Used in baked items.,,,,,,
Cooked Lentil Flour (पका मसूर आटा),"Cereals,Pulses,Lentils & Legumes",118,8,20,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very easy digestion.,,,,,,
Dry Lima Beans (सूखे लीमा बीन्स),"Cereals,Pulses,Lentils & Legumes",338,21.4,63.4,0.7,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Creamy texture.,,,,,,
Boiled Lima Beans (उबले लीमा बीन्स),"Cereals,Pulses,Lentils & Legumes",115,7.8,20,0.3,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Great for soups.,,,,,,
Dry Turtle Beans (सूखे टर्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",344,21.5,62,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Dense protein food.,,,,,,
Boiled Turtle Beans (उबले टर्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",132,8.5,23,0.3,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Highly digestible.,,,,,,
Dry Cranberry Peas (सूखे क्रैनबेरी मटर),"Cereals,Pulses,Lentils & Legumes",345,23,61,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,High iron content.,,,,,,
Boiled Cranberry Peas (उबले क्रैनबेरी मटर),"Cereals,Pulses,Lentils & Legumes",138,7.9,23.5,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Very light and mild flavor.,,,,,,
Dry Kidney Peas (सूखे किडनी मटर),"Cereals,Pulses,Lentils & Legumes",345,23.2,62,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Energy-dense.,,,,,,
Boiled Kidney Peas (उबले किडनी मटर),"Cereals,Pulses,Lentils & Legumes",130,8.2,22,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,"Soft texture, good for digestion.",,,,,,
Dry White Beans (सूखी सफेद बीन्स),"Cereals,Pulses,Lentils & Legumes",336,22,61,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Rich in potassium.,,,,,,
Boiled White Beans (उबली सफेद बीन्स),"Cereals,Pulses,Lentils & Legumes",134,7.8,23.5,0.5,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Soft and mild flavor.,,,,,,
Dry Flageolet Beans (सूखे फ्लाजोलेट बीन्स),"Cereals,Pulses,Lentils & Legumes",337,22.5,61,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Light green European bean.,,,,,,
Boiled Flageolet Beans (उबले फ्लाजोलेट बीन्स),"Cereals,Pulses,Lentils & Legumes",131,8,22,0.3,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Soft and easy to cook.,,,,,,
Dry Red Soybeans (सूखे लाल सोया),"Cereals,Pulses,Lentils & Legumes",450,36,30,20,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Richer than yellow soybean.,,,,,,
Boiled Red Soybeans (उबले लाल सोया),"Cereals,Pulses,Lentils & Legumes",175,17,11,8.5,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Good for muscle building.,,,,,,
Black Gram Flour (काली उड़द आटा),"Cereals,Pulses,Lentils & Legumes",357,25,59,1.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Used in dosas & papads.,,,,,,
Cooked Black Gram Flour (पका काली उड़द आटा),"Cereals,Pulses,Lentils & Legumes",124,8,21,0.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↓ Pitta↑ Kapha↓,Better digestibility.,,,,,,
Dry Wax Beans (सूखे वैक्स बीन्स),"Cereals,Pulses,Lentils & Legumes",334,21,61.5,0.8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High mineral content.,,,,,,
Boiled Wax Beans (उबले वैक्स बीन्स),"Cereals,Pulses,Lentils & Legumes",126,7.5,21,0.3,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Soft and gentle on digestion.,,,,,,
Dry Yellow Peas (सूखी पीली मटर),"Cereals,Pulses,Lentils & Legumes",348,22.8,62,1,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for soups.,,,,,,
Boiled Yellow Peas (उबली पीली मटर),"Cereals,Pulses,Lentils & Legumes",132,7,20,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Easy to digest.,,,,,,
Dry Brown Beans (सूखे ब्राउन बीन्स),"Cereals,Pulses,Lentils & Legumes",339,22,62,1.1,Astringent (कषाय),Heating (उष्ण),Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Good protein source.,,,,,,
Boiled Brown Beans (उबले ब्राउन बीन्स),"Cereals,Pulses,Lentils & Legumes",138,8,23,0.4,Astringent (कषाय),Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Easy digestibility.,,,,,,
Dry Pink Beans (सूखे गुलाबी बीन्स),"Cereals,Pulses,Lentils & Legumes",345,23.5,60,1.2,Astringent (कषाय),Cooling,Heavy,Sweet,Vata↑ Pitta↓ Kapha↑,Rich color beans.,,,,,,
Boiled Pink Beans (उबले गुलाबी बीन्स),"Cereals,Pulses,Lentils & Legumes",140,8.4,23,0.5,Astringent,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↑,Good for soups.,,,,,,
Dry Speckled Beans (सूखे स्पेकल्ड बीन्स),"Cereals,Pulses,Lentils & Legumes",342,22,61,1,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,"Colorful, nutritious.",,,,,,
Boiled Speckled Beans (उबले स्पेकल्ड बीन्स),"Cereals,Pulses,Lentils & Legumes",137,7.8,22,0.3,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Soft texture.,,,,,,
Dry Pastel Beans (सूखे पेस्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",338,22,60,1,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Rich in minerals.,,,,,,
Boiled Pastel Beans (उबले पेस्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",135,8,21,0.3,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Smooth consistency.,,,,,,
Dry Marrow Beans (सूखे मैरो बीन्स),"Cereals,Pulses,Lentils & Legumes",340,22.2,60.8,1.1,Astringent,Cooling,Heavy,Sweet,Vata↑ Pitta↓ Kapha↑,Mild flavor.,,,,,,
Boiled Marrow Beans (उबले मैरो बीन्स),"Cereals,Pulses,Lentils & Legumes",136,7.9,22.5,0.3,Astringent,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↑,"Soft, easy digestion.",,,,,,
Dry Yellow Lentils (सूखी पीली दाल),"Cereals,Pulses,Lentils & Legumes",332,24,62,1.2,Sweet Astringent (मधुर कषाय),Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↓,Very versatile.,,,,,,
Boiled Yellow Lentils (उबली पीली दाल),"Cereals,Pulses,Lentils & Legumes",120,9,20,0.4,Sweet,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↓,Easy on stomach.,,,,,,
Dry Rainbow Beans (सूखे रेनबो बीन्स),"Cereals,Pulses,Lentils & Legumes",343,21,62,1.2,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Colorful appearance.,,,,,,
Boiled Rainbow Beans (उबले रेनबो बीन्स),"Cereals,Pulses,Lentils & Legumes",136,8,23,0.4,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Good in salads.,,,,,,
Dry Cranberry Lentils (सूखी क्रैनबेरी दाल),"Cereals,Pulses,Lentils & Legumes",330,25,59,1.1,Astringent,Heating,Light,Pungent,Vata↑ Pitta↓ Kapha↓,Good plant protein.,,,,,,
Boiled Cranberry Lentils (उबली क्रैनबेरी दाल),"Cereals,Pulses,Lentils & Legumes",115,8,19,0.4,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Very easily digestible.,,,,,,
Dry Pat Kidney Beans (सूखे पैट राजमा),"Cereals,Pulses,Lentils & Legumes",338,22,61,1.1,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Good protein density.,,,,,,
Boiled Pat Kidney Beans (उबले पैट राजमा),"Cereals,Pulses,Lentils & Legumes",134,8,22,0.4,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Better digestibility.,,,,,,
Dry Pinto Peas (सूखे पिंटो मटर),"Cereals,Pulses,Lentils & Legumes",346,22,63,1,Astringent,Cooling,Heavy,Sweet,Vata↑ Pitta↓ Kapha↑,High in minerals.,,,,,,
Boiled Pinto Peas (उबले पिंटो मटर),"Cereals,Pulses,Lentils & Legumes",132,7.5,22,0.3,Astringent,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↑,Soft and mild.,,,,,,
Dry Garden Peas (सूखे गार्डन मटर),"Cereals,Pulses,Lentils & Legumes",346,23,62,1.2,Astringent,Cooling,Light,Sweet,Vata↑ Pitta↓ Kapha↓,Great for soups.,,,,,,
Boiled Garden Peas (उबले गार्डन मटर),"Cereals,Pulses,Lentils & Legumes",130,7,20,0.4,Astringent,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↑,Easy digestion.,,,,,,
Dry Royal Beans (सूखे रॉयल बीन्स),"Cereals,Pulses,Lentils & Legumes",342,22.5,61,1.3,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Large bean variety.,,,,,,
Boiled Royal Beans (उबले रॉयल बीन्स),"Cereals,Pulses,Lentils & Legumes",138,8.3,22.5,0.5,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Soft after cooking.,,,,,,
Dry Sunset Beans (सूखे सनसेट बीन्स),"Cereals,Pulses,Lentils & Legumes",337,21,61.5,1.2,Astringent,Cooling,Heavy,Sweet,Vata↑ Pitta↓ Kapha↑,Vibrant bean type.,,,,,,
Boiled Sunset Beans (उबले सनसेट बीन्स),"Cereals,Pulses,Lentils & Legumes",136,7.7,22,0.3,Astringent,Cooling,Light,Sweet,Vata↓ Pitta↓ Kapha↑,Smooth digestion.,,,,,,
Dry Purple Gram (सूखा बैंगनी ग्राम),"Cereals,Pulses,Lentils & Legumes",350,24,59.5,1.3,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Rich in antioxidants.,,,,,,
Boiled Purple Gram (उबला बैंगनी ग्राम),"Cereals,Pulses,Lentils & Legumes",128,8,21,0.4,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Gentle eating.,,,,,,
Dry Red Matki Beans (सूखे लाल मटकी),"Cereals,Pulses,Lentils & Legumes",340,23,60,1,Astringent,Heating,Light,Pungent,Vata↑ Pitta↓ Kapha↓,Strengthening.,,,,,,
Boiled Red Matki Beans (उबले लाल मटकी),"Cereals,Pulses,Lentils & Legumes",122,7.2,20,0.3,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Light meal option.,,,,,,
Dry Buffalo Beans (सूखे भैंस बीन्स),"Cereals,Pulses,Lentils & Legumes",338,21.5,62,1.1,Astringent,Heating,Heavy,Pungent,Vata↑ Pitta↓ Kapha↓,Dense variety.,,,,,,
Boiled Buffalo Beans (उबले भैंस बीन्स),"Cereals,Pulses,Lentils & Legumes",134,8,22,0.4,Astringent,Heating,Light,Pungent,Vata↓ Pitta↓ Kapha↓,Soft and filling.,,,,,,
Dry White Lentil Flour (सफेद दाल आटा),"Cereals,Pulses,Lentils & Legumes",354,26,58,1.4,Astringent,Heating,Light,Pungent,Vata↑ Pitta↓ Kapha↓,Useful in baking.,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
